state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,electricity_norm,QoL,season
California,2023-09-14,2023,9,Thursday,3,0,13.625,27.0,17.4,21.2,816728.0,47.05298462925215,81.6728,0.08095654902478902,0.4496343684933872,0.7247899159663866,0.37135046562848606,0.6160513864383718,Autumn
California,2023-09-15,2023,9,Friday,4,0,14.016666666666667,26.8,16.5,20.2,809940.0,47.05298462925215,80.994,0.08328516457201368,0.4496343684933872,0.7037815126050421,0.36672755183070926,0.6082844820817216,Autumn
California,2023-09-16,2023,9,Saturday,5,1,10.370833333333334,25.8,17.9,20.6,750465.0,47.05298462925215,75.0465,0.06160922197816717,0.4496343684933872,0.7121848739495801,0.3262225727318914,0.6322321119103576,Autumn
California,2023-09-17,2023,9,Sunday,6,1,7.220833333333334,25.3,18.7,20.4,702396.0,47.05298462925215,70.2396,0.04288120757708379,0.4496343684933872,0.7079831932773111,0.29348555986428193,0.6487351963953979,Autumn
California,2023-09-18,2023,9,Monday,0,0,9.1625,25.8,16.8,20.5,759950.0,47.05298462925215,75.995,0.054425195289920895,0.4496343684933872,0.7100840336134454,0.3326822570824974,0.6352376724775592,Autumn
California,2023-09-19,2023,9,Tuesday,1,0,9.7375,27.1,15.4,20.1,757894.0,47.05298462925215,75.7894,0.05784380109329326,0.4496343684933872,0.7016806722689077,0.331282034517938,0.630401947699433,Autumn
California,2023-09-20,2023,9,Wednesday,2,0,10.0,25.3,16.5,20.4,755851.0,47.05298462925215,75.5851,0.05940446896005021,0.4496343684933872,0.7079831932773111,0.3298906655007226,0.6316912792007562,Autumn
California,2023-09-21,2023,9,Thursday,3,0,19.425,22.9,16.1,19.5,740067.0,47.05298462925215,74.0067,0.11543987712837113,0.4496343684933872,0.6890756302521008,0.3191410969408951,0.5899192618614265,Autumn
California,2023-09-22,2023,9,Friday,4,0,26.541666666666668,26.2,15.6,19.3,724430.0,47.05298462925215,72.443,0.1577513170715595,0.4496343684933872,0.684873949579832,0.30849164157026515,0.5621497026832794,Autumn
California,2023-09-23,2023,9,Saturday,5,1,26.370833333333334,26.0,16.2,20.0,677511.0,47.05298462925215,67.7511,0.15673564433287643,0.4496343684933872,0.6995798319327732,0.2765378271215483,0.5730294503199073,Autumn
California,2023-09-24,2023,9,Sunday,6,1,27.53333333333333,27.1,15.3,19.8,665591.0,47.05298462925215,66.5591,0.16364717345708577,0.4496343684933872,0.6953781512605043,0.2684198052492001,0.568384864859237,Autumn
California,2023-09-25,2023,9,Monday,0,0,24.741666666666664,28.1,15.1,19.4,732309.0,47.05298462925215,73.2309,0.1470495945566547,0.4496343684933872,0.6869747899159665,0.3138575723028349,0.5690742540027389,Autumn
California,2023-09-26,2023,9,Tuesday,1,0,13.779166666666669,29.0,14.7,20.0,756571.0,47.05298462925215,75.6571,0.08187313174018597,0.4496343684933872,0.6995798319327732,0.3303810158151597,0.6138702163741887,Autumn
California,2023-09-27,2023,9,Wednesday,2,0,12.020833333333334,30.5,15.0,21.0,759884.0,47.05298462925215,75.9884,0.07141913428349657,0.4496343684933872,0.7205882352941176,0.33263730830367394,0.6274351750041235,Autumn
California,2023-09-28,2023,9,Thursday,3,0,14.383333333333333,26.9,15.9,20.2,753387.0,47.05298462925215,75.3387,0.0854651450843091,0.4496343684933872,0.7037815126050421,0.3282125777579821,0.6132389558328187,Autumn
California,2023-09-29,2023,9,Friday,4,0,14.295833333333334,25.9,17.0,19.9,741114.0,47.05298462925215,74.1114,0.08494492246205679,0.4496343684933872,0.6974789915966388,0.3198541480231391,0.6128788285282284,Autumn
California,2023-09-30,2023,9,Saturday,5,1,8.395833333333334,22.6,16.6,19.0,670746.0,47.05298462925215,67.0746,0.04986705421875775,0.4496343684933872,0.6785714285714286,0.27193057729214937,0.637891422333026,Autumn
California,2023-10-01,2023,10,Sunday,6,1,6.275,20.8,14.1,16.8,625287.0,47.43056188080152,62.5287,0.037257848755594465,0.4538452389034207,0.6323529411764707,0.24097108431437447,0.6381561401384203,Autumn
