state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,QoL,electricity_norm
California,2023-09-14,2023,9,Thursday,3,0,13.625,26.5,11.1,18.9,816728.0,47.05298462925215,81.6728,0.08095654902478902,0.4496343684933872,0.7379310344827585,0.6051850108537844,0.37135046562848606
California,2023-09-15,2023,9,Friday,4,0,14.016666666666667,28.1,12.4,19.8,809940.0,47.05298462925215,80.994,0.08328516457201368,0.4496343684933872,0.753448275862069,0.6097749938240992,0.36672755183070926
California,2023-09-16,2023,9,Saturday,5,1,10.370833333333334,26.7,16.0,20.2,750465.0,47.05298462925215,75.0465,0.06160922197816717,0.4496343684933872,0.7603448275862068,0.6343431036127894,0.3262225727318914
California,2023-09-17,2023,9,Sunday,6,1,7.220833333333334,24.4,13.9,18.0,702396.0,47.05298462925215,70.2396,0.04288120757708379,0.4496343684933872,0.7224137931034482,0.6398816587925749,0.29348555986428193
California,2023-09-18,2023,9,Monday,0,0,9.1625,26.6,10.4,18.3,759950.0,47.05298462925215,75.995,0.054425195289920895,0.4496343684933872,0.7275862068965517,0.6268088395874636,0.3326822570824974
California,2023-09-19,2023,9,Tuesday,1,0,9.7375,30.1,16.4,21.5,757894.0,47.05298462925215,75.7894,0.05784380109329326,0.4496343684933872,0.7827586206896552,0.6438966287171949,0.331282034517938
California,2023-09-20,2023,9,Wednesday,2,0,10.0,24.6,17.2,20.4,755851.0,47.05298462925215,75.5851,0.05940446896005021,0.4496343684933872,0.7637931034482758,0.6364422504307335,0.3298906655007226
California,2023-09-21,2023,9,Thursday,3,0,19.425,28.1,15.2,20.5,740067.0,47.05298462925215,74.0067,0.11543987712837113,0.4496343684933872,0.7655172413793103,0.5998617237758862,0.3191410969408951
California,2023-09-22,2023,9,Friday,4,0,26.541666666666668,27.9,18.2,22.2,724430.0,47.05298462925215,72.443,0.1577513170715595,0.4496343684933872,0.7948275862068964,0.5824420102871186,0.30849164157026515
California,2023-09-23,2023,9,Saturday,5,1,26.370833333333334,28.5,17.9,22.0,677511.0,47.05298462925215,67.7511,0.15673564433287643,0.4496343684933872,0.7913793103448276,0.5875158600572222,0.2765378271215483
California,2023-09-24,2023,9,Sunday,6,1,27.53333333333333,28.4,18.5,22.6,665591.0,47.05298462925215,66.5591,0.16364717345708577,0.4496343684933872,0.8017241379310345,0.5877182499299518,0.2684198052492001
California,2023-09-25,2023,9,Monday,0,0,24.741666666666664,29.5,15.3,21.6,732309.0,47.05298462925215,73.2309,0.1470495945566547,0.4496343684933872,0.7844827586206896,0.5853607512188503,0.3138575723028349
California,2023-09-26,2023,9,Tuesday,1,0,13.779166666666669,28.8,15.5,21.6,756571.0,47.05298462925215,75.6571,0.08187313174018597,0.4496343684933872,0.7844827586206896,0.6279070020504205,0.3303810158151597
California,2023-09-27,2023,9,Wednesday,2,0,12.020833333333334,27.8,15.6,20.6,759884.0,47.05298462925215,75.9884,0.07141913428349657,0.4496343684933872,0.7672413793103449,0.628791605941916,0.33263730830367394
